,lin_diff_num,genera,turns,child_num,child_correct_AB_num,child_false_AB_num,all_recom_correct_rate,child_correct_AA_num,child_false_AA_num,all_yin_correct_rate,child_zhenyin_d,child_jiayang_b,child_jiayin_c,child_zhenyang_a,x_FPR,x_FDR_wufaxianlv,y_TPR,usetime
s5smpl8gene4turns1RT0.1,56.0,4.0,1.0,44.0,18.0,4.0,0.8182,22.0,0.0,1.0,22.0,0.0,4.0,18.0,0.0,0.0,0.8182,39767.0
s5smpl8gene4turns2RT0.1,51.0,4.0,2.0,42.0,16.0,5.0,0.7619,21.0,0.0,1.0,21.0,0.0,4.0,17.0,0.0,0.0,0.8095,38975.0
s5smpl8gene4turns3RT0.1,56.0,4.0,3.0,32.0,7.0,9.0,0.4375,16.0,0.0,1.0,16.0,0.0,9.0,7.0,0.0,0.0,0.4375,23167.0
s5smpl8gene4turns4RT0.1,57.0,4.0,4.0,38.0,15.0,4.0,0.7895,19.0,0.0,1.0,19.0,0.0,4.0,15.0,0.0,0.0,0.7895,29869.0
s5smpl8gene4turns5RT0.1,52.0,4.0,5.0,42.0,15.0,6.0,0.7143,21.0,0.0,1.0,21.0,0.0,6.0,15.0,0.0,0.0,0.7143,37038.0
s5smpl8gene4turns6RT0.1,56.0,4.0,6.0,38.0,14.0,5.0,0.7368,19.0,0.0,1.0,19.0,0.0,5.0,14.0,0.0,0.0,0.7368,34922.0
s5smpl8gene4turns7RT0.1,45.0,4.0,7.0,32.0,10.0,6.0,0.625,16.0,0.0,1.0,16.0,0.0,5.0,11.0,0.0,0.0,0.6875,27414.0
s5smpl8gene4turns8RT0.1,56.0,4.0,8.0,28.0,12.0,2.0,0.8571,14.0,0.0,1.0,14.0,0.0,2.0,12.0,0.0,0.0,0.8571,28172.0
s5smpl8gene4turns9RT0.1,57.0,4.0,9.0,44.0,18.0,4.0,0.8182,22.0,0.0,1.0,22.0,0.0,4.0,18.0,0.0,0.0,0.8182,34249.0
s5smpl8gene4turns10RT0.1,56.0,4.0,10.0,32.0,9.0,7.0,0.5625,16.0,0.0,1.0,16.0,0.0,7.0,9.0,0.0,0.0,0.5625,29025.0
