,lin_diff_num,genera,turns,child_num,child_correct_AB_num,child_false_AB_num,all_recom_correct_rate,child_correct_AA_num,child_false_AA_num,all_yin_correct_rate,child_zhenyin_d,child_jiayang_b,child_jiayin_c,child_zhenyang_a,x_FPR,x_FDR_wufaxianlv,y_TPR,usetime
s5smpl8gene6turns1RT0.1,40.0,6.0,1.0,18.0,7.0,5.0,0.5833,6.0,0.0,1.0,6.0,0.0,4.0,8.0,0.0,0.0,0.6667,19634.0
s5smpl8gene6turns2RT0.1,51.0,6.0,2.0,12.0,4.0,0.0,1.0,8.0,0.0,1.0,8.0,0.0,0.0,4.0,0.0,0.0,1.0,8855.0
s5smpl8gene6turns3RT0.1,52.0,6.0,3.0,12.0,4.0,0.0,1.0,8.0,0.0,1.0,8.0,0.0,0.0,4.0,0.0,0.0,1.0,11367.0
s5smpl8gene6turns4RT0.1,43.0,6.0,4.0,10.0,1.0,3.0,0.25,6.0,0.0,1.0,6.0,0.0,3.0,1.0,0.0,0.0,0.25,9303.0
s5smpl8gene6turns5RT0.1,56.0,6.0,5.0,9.0,2.0,1.0,0.6667,6.0,0.0,1.0,6.0,0.0,1.0,2.0,0.0,0.0,0.6667,7321.0
s5smpl8gene6turns6RT0.1,49.0,6.0,6.0,9.0,2.0,0.0,1.0,7.0,0.0,1.0,7.0,0.0,0.0,2.0,0.0,0.0,1.0,7133.0
s5smpl8gene6turns7RT0.1,50.0,6.0,7.0,10.0,3.0,3.0,0.5,4.0,0.0,1.0,4.0,0.0,3.0,3.0,0.0,0.0,0.5,8707.0
s5smpl8gene6turns8RT0.1,55.0,6.0,8.0,17.0,9.0,1.0,0.9,7.0,0.0,1.0,7.0,0.0,1.0,9.0,0.0,0.0,0.9,18116.0
s5smpl8gene6turns9RT0.1,56.0,6.0,9.0,12.0,5.0,1.0,0.8333,6.0,0.0,1.0,6.0,0.0,1.0,5.0,0.0,0.0,0.8333,11217.0
s5smpl8gene6turns10RT0.1,51.0,6.0,10.0,13.0,4.0,1.0,0.8,8.0,0.0,1.0,8.0,0.0,1.0,4.0,0.0,0.0,0.8,11235.0
